# In-corpus citations over papers/ (task-012). Authoritative file;
# the in-corpus column of citations-2201.02177.txt mirrors it.
# Edge rule D1-A: arXiv id anywhere in the citing paper's stored original/
#   Markdown, OR normalized title (60-char prefix for long titles) inside
#   the bibliography region; manual adjudications live in
#   .claude/skills/import-paper-card/scripts/count_incorpus.py (the
#   generator; rerun it with --write to refresh both files).
# Residual error: citations by venue name only (no arXiv id, no verbatim
#   title) are undetectable and missing here.
# Columns: arxiv-id<TAB>in-corpus-citations<TAB>citing-corpus-ids<TAB>counted-at
2201.02177	200	2205.10343 2206.04817 2207.08799 2210.01117 2210.15435 2211.11052 2211.12316 2211.13239 2212.04458 2301.02679 2301.05217 2302.03025 2302.09160 2303.06173 2303.11873 2305.18741 2306.13253 2306.17844 2307.09550 2308.09543 2308.15594 2309.02390 2309.03800 2310.02541 2310.03789 2310.05918 2310.06110 2310.11282 2310.12956 2310.12977 2310.16441 2310.17247 2310.19470 2311.04163 2311.04354 2311.06597 2311.07568 2311.18817 2312.06581 2401.10463 2402.09469 2402.10688 2402.15175 2402.15555 2402.16726 2403.03942 2403.06925 2404.16367 2405.12755 2405.15071 2405.16658 2405.17479 2405.19454 2405.20233 2406.06158 2407.12332 2407.20199 2408.11804 2409.09281 2409.16767 2410.04489 2411.00247 2411.03541 2412.04619 2412.09810 2412.10898 2412.18624 2501.02436 2501.04697 2501.12391 2502.01628 2502.01739 2502.01774 2502.21009 2503.10065 2503.10483 2503.23298 2504.03162 2504.12700 2504.12916 2504.13292 2504.16041 2504.17243 2504.20571 2504.20752 2505.11411 2505.15624 2505.18266 2505.20076 2505.20172 2506.04434 2506.05718 2506.12284 2506.13688 2506.21551 2506.23286 2506.23679 2507.20057 2507.23346 2508.04401 2508.15841 2509.06931 2509.10562 2509.17738 2509.20829 2509.21016 2509.21519 2510.00468 2510.04930 2510.25791 2510.25966 2511.01938 2511.04760 2511.12768 2512.00686 2512.03437 2512.13568 2601.03162 2601.08316 2601.09049 2601.19791 2601.22450 2601.22637 2602.02859 2602.06702 2602.08302 2602.12039 2602.16746 2602.16967 2602.18523 2602.18649 2602.19533 2602.22600 2603.01192 2603.01968 2603.05228 2603.07323 2603.11161 2603.13331 2603.15492 2603.23784 2603.24746 2603.25009 2603.29262 2604.06256 2604.07380 2604.12434 2604.13082 2604.13123 2604.17673 2604.19740 2604.20923 2604.25143 2605.01172 2605.04230 2605.04396 2605.06152 2605.06258 2605.06352 2605.08119 2605.08237 2605.08464 2605.09724 2605.12394 2605.14659 2605.15551 2605.15787 2605.16325 2605.18022 2605.20441 2605.24057 2605.28975 2606.00045 2606.00230 2606.04405 2606.05863 2606.08985 2606.12966 2606.13753 2606.17120 2606.17399 2606.18465 2606.20737 2606.21158 2606.26050 2606.30512 2606.32000 2607.04333 2607.05104 2607.06628 2607.06639 2607.08350 2607.11666 2607.12735 2607.13749 2607.20512 2607.20552 2607.29503 2608.01833 2608.07436	2026-08-25
2205.10343	112	2210.01117 2210.15435 2301.02679 2301.05217 2302.03025 2303.06173 2306.13253 2306.17844 2307.09550 2308.15594 2309.02390 2310.02541 2310.03789 2310.05918 2310.06110 2310.11282 2310.12956 2310.16441 2310.17247 2310.19470 2311.06597 2311.07568 2311.18817 2401.10463 2402.09469 2402.10688 2402.15175 2402.16726 2404.16367 2405.12755 2405.15071 2405.16658 2405.17479 2405.19454 2405.20233 2407.12332 2407.20199 2408.11804 2409.09281 2410.04489 2411.00247 2411.03541 2412.09810 2412.10898 2412.18624 2501.12391 2502.01628 2502.01739 2502.01774 2502.21009 2503.10065 2503.10483 2504.03162 2504.13292 2504.16041 2504.17243 2504.20571 2505.11411 2505.15624 2505.18266 2505.20172 2506.04434 2506.13688 2506.21551 2506.23286 2507.20057 2507.23346 2508.04401 2509.06931 2509.10562 2509.20829 2509.21519 2510.04930 2510.25791 2510.25966 2511.01938 2511.04760 2601.03162 2601.19791 2602.02859 2602.06702 2602.08302 2602.16967 2602.19533 2602.22600 2603.01968 2603.24746 2603.29262 2604.07380 2604.12434 2604.13082 2604.13123 2605.06258 2605.08237 2605.09724 2605.12394 2605.14659 2605.16325 2605.18022 2606.00045 2606.05863 2606.08985 2606.12966 2606.26050 2606.32000 2607.04333 2607.05104 2607.06628 2607.11666 2607.13749 2607.29503 2608.01833	2026-08-25
2206.04817	74	2210.01117 2210.15435 2211.11052 2301.02679 2301.05217 2303.11873 2306.13253 2307.09550 2308.09543 2309.02390 2310.02541 2310.05918 2310.06110 2310.11282 2310.12956 2310.16441 2310.19470 2311.04163 2311.06597 2311.18817 2401.10463 2402.09469 2402.10688 2402.15175 2402.16726 2404.16367 2405.15071 2405.16658 2405.17479 2405.19454 2405.20233 2407.12332 2407.20199 2408.11804 2410.04489 2411.00247 2412.10898 2501.04697 2502.01739 2502.21009 2504.03162 2504.13292 2504.17243 2504.20752 2505.11411 2506.05718 2507.20057 2509.06931 2509.20829 2509.21519 2510.04930 2511.04760 2601.03162 2601.19791 2602.06702 2602.08302 2602.16746 2602.18523 2603.01968 2603.05228 2603.13331 2603.15492 2603.25009 2605.06152 2605.08237 2605.09724 2606.12966 2606.13753 2606.18465 2607.05104 2607.20512 2607.20552 2608.01833 2608.07436	2026-08-25
2207.08799	64	2210.01117 2211.11052 2211.12316 2301.02679 2301.05217 2302.03025 2303.11873 2306.17844 2307.09550 2308.09543 2309.02390 2309.03800 2310.02541 2310.05918 2310.06110 2310.12956 2310.17247 2311.04163 2311.06597 2311.07568 2311.18817 2402.09469 2402.15555 2402.16726 2403.03942 2403.06925 2405.12755 2405.16658 2405.17479 2405.20233 2407.12332 2407.20199 2408.08944 2408.11804 2411.03541 2412.04619 2412.10898 2501.04697 2504.03162 2504.12700 2504.13292 2505.20172 2506.05718 2506.13688 2509.06931 2509.21519 2510.04930 2511.04760 2601.03162 2601.19791 2601.22450 2602.16967 2603.07323 2603.11161 2603.13331 2603.29262 2604.13082 2604.13123 2605.14659 2605.28975 2606.12966 2606.21158 2606.32000 2607.05104	2026-08-25
2210.01117	126	2205.10343 2301.02679 2302.03025 2302.09160 2303.11873 2305.18741 2306.17844 2307.09550 2308.09543 2309.02390 2309.03800 2310.02541 2310.03789 2310.05918 2310.06110 2310.11282 2310.12956 2310.12977 2310.16441 2310.17247 2310.19470 2311.06597 2311.07568 2311.18817 2401.10463 2402.10688 2402.15175 2402.15555 2402.16726 2403.03942 2405.12755 2405.15071 2405.16658 2405.17479 2405.19454 2405.20233 2407.12332 2407.20199 2408.08944 2408.11804 2410.04489 2411.00247 2411.03541 2412.04619 2412.09810 2412.10898 2412.18624 2501.02436 2501.04697 2501.12391 2502.01628 2502.01739 2502.21009 2503.23298 2504.12700 2504.13292 2504.17243 2504.20752 2505.11411 2505.15624 2505.20076 2505.20172 2506.05718 2506.12284 2506.21551 2506.23286 2507.20057 2509.06931 2509.10562 2509.20829 2509.21016 2509.21519 2510.04930 2510.25966 2511.01938 2511.04760 2512.03437 2601.03162 2601.08316 2601.19791 2602.06702 2602.08302 2602.16746 2602.16967 2602.18523 2602.18649 2602.19533 2602.22600 2603.01192 2603.01968 2603.13331 2603.15492 2603.24746 2603.25009 2603.29262 2604.07380 2604.13082 2604.13123 2604.17673 2604.25143 2605.04396 2605.06152 2605.06352 2605.08119 2605.08464 2605.09724 2605.14659 2605.15787 2605.20441 2605.28975 2606.04405 2606.05863 2606.12966 2606.13753 2606.17120 2606.18465 2606.26050 2607.04333 2607.05104 2607.06639 2607.11666 2607.12735 2607.20512 2607.20552 2607.29503 2608.01833	2026-08-25
2210.15435	25	2301.02679 2306.13253 2307.09550 2310.02541 2310.03789 2310.16441 2310.17247 2311.06597 2311.18817 2402.16726 2410.04489 2501.04697 2502.01774 2504.13292 2506.05718 2509.17738 2601.19791 2602.08302 2603.01192 2603.01968 2603.24746 2605.20441 2606.05863 2606.18465 2607.13749	2026-08-25
2211.11052	0	-	2026-08-25
2211.12316	8	2311.18817 2403.06925 2404.16367 2405.17479 2407.12332 2412.10898 2503.10065 2601.03162	2026-08-25
2211.13239	2	2605.06352 2607.06639	2026-08-25
2212.04458	0	-	2026-08-25
2301.02679	58	2308.15594 2310.02541 2310.03789 2310.05918 2310.06110 2310.19470 2311.06597 2311.07568 2311.18817 2312.06581 2402.09469 2402.10688 2402.16726 2405.20233 2407.12332 2407.20199 2408.11804 2410.03569 2410.04489 2501.04697 2502.01739 2502.21009 2503.10065 2504.03162 2504.13292 2505.15624 2505.18266 2505.20172 2506.05718 2509.06931 2509.17738 2509.21519 2510.00468 2510.04930 2511.01938 2512.03437 2601.19791 2602.06702 2602.08302 2602.19533 2603.01968 2603.23784 2603.29262 2604.13082 2604.13123 2605.06152 2605.08464 2605.18022 2606.00045 2606.00230 2606.05863 2606.08985 2606.12966 2606.13753 2606.23044 2607.04333 2607.05104 2607.13749	2026-08-25
2301.05217	162	2210.01117 2302.03025 2302.09160 2303.11873 2306.17844 2307.09550 2308.09543 2308.15594 2309.02390 2310.02541 2310.03789 2310.05918 2310.06110 2310.12956 2310.16441 2310.17247 2310.19470 2311.04163 2311.04354 2311.06597 2311.07568 2311.18817 2312.06581 2401.10463 2402.09469 2402.10688 2402.15175 2402.15555 2402.16726 2403.03942 2403.06925 2404.16367 2405.12755 2405.15071 2405.16658 2405.17479 2405.20233 2406.06158 2407.12332 2407.20199 2408.08944 2408.11804 2409.09281 2409.16767 2410.03569 2410.04489 2411.00247 2411.03541 2412.04619 2412.09810 2412.10898 2412.18624 2501.04697 2501.12391 2502.01739 2502.01774 2502.21009 2503.23298 2504.03162 2504.12700 2504.12916 2504.13292 2504.16041 2504.20571 2504.20752 2505.11411 2505.15624 2505.18266 2505.20076 2505.20172 2506.04434 2506.05718 2506.12284 2506.13688 2506.21551 2506.23286 2506.23679 2507.20057 2508.15841 2509.06931 2509.10562 2509.17738 2509.20829 2509.21519 2510.00468 2510.04930 2510.25966 2511.01938 2511.04760 2511.12768 2512.03437 2512.13568 2601.09049 2601.19791 2602.02859 2602.06702 2602.08302 2602.16746 2602.16967 2602.18523 2602.18649 2602.19533 2602.22600 2603.01192 2603.01968 2603.05228 2603.07323 2603.11161 2603.13331 2603.15492 2603.23784 2603.24746 2603.25009 2604.06256 2604.07380 2604.13082 2604.13123 2604.17673 2604.19740 2604.20923 2604.25143 2605.04396 2605.06152 2605.06352 2605.08119 2605.08237 2605.08464 2605.09724 2605.12394 2605.14659 2605.15787 2605.16325 2605.18022 2605.20441 2605.24057 2605.28975 2606.00230 2606.04405 2606.05863 2606.08985 2606.12966 2606.13753 2606.17120 2606.17399 2606.18465 2606.20737 2606.21158 2606.23044 2606.26050 2606.32000 2607.04333 2607.05104 2607.06628 2607.06639 2607.11666 2607.12735 2607.13749 2607.20512 2607.20552 2607.29503 2608.01833 2608.07436	2026-08-25
2302.03025	35	2306.17844 2307.09550 2309.02390 2310.16441 2311.04354 2311.07568 2311.18817 2312.06581 2402.09469 2402.15175 2402.16726 2405.16658 2405.17479 2410.04489 2412.10898 2501.04697 2504.13292 2505.18266 2506.05718 2509.06931 2512.03437 2601.19791 2602.19533 2602.22600 2603.01968 2603.07323 2603.13331 2603.24746 2604.06256 2604.13082 2604.13123 2606.12966 2606.17399 2607.05104 2608.07436	2026-08-25
2302.09160	1	2605.08237	2026-08-25
2303.06173	44	2302.03025 2307.09550 2309.02390 2310.02541 2310.05918 2310.06110 2310.16441 2310.17247 2310.19470 2311.06597 2311.18817 2402.10688 2402.15175 2402.16726 2405.15071 2405.20233 2407.20199 2408.11804 2410.04489 2504.13292 2504.17243 2504.20752 2505.15624 2506.05718 2507.20057 2509.20829 2509.21016 2510.04930 2512.03437 2601.08316 2601.19791 2602.06702 2602.08302 2602.16746 2602.18523 2602.18649 2603.13331 2603.25009 2604.13123 2604.17673 2605.09724 2605.18022 2605.28975 2606.12966	2026-08-25
2303.11873	56	2307.09550 2308.09543 2309.02390 2309.03800 2310.02541 2310.05918 2310.16441 2310.17247 2310.19470 2311.04163 2311.06597 2311.18817 2312.06581 2402.09469 2402.10688 2402.16726 2403.03942 2404.16367 2405.12755 2405.15071 2405.17479 2408.08944 2408.11804 2410.04489 2412.04619 2504.13292 2505.11411 2506.04434 2506.05718 2506.13688 2506.21551 2509.21519 2510.04930 2510.25966 2511.04760 2512.03437 2601.09049 2601.19791 2601.22450 2602.02859 2602.16746 2602.18523 2602.18649 2603.01968 2603.15492 2603.24746 2603.25009 2604.13082 2604.13123 2605.06352 2605.09724 2606.12966 2606.32000 2607.05104 2607.08350 2608.01833	2026-08-25
2305.18741	20	2307.09550 2310.11282 2310.17247 2310.19470 2402.09469 2402.16726 2403.03942 2404.16367 2405.15071 2412.04619 2506.05718 2506.23286 2509.17738 2510.04930 2510.25966 2601.09049 2602.16967 2605.15787 2606.00230 2606.26050	2026-08-25
2306.13253	24	2302.09160 2309.02390 2310.05918 2310.16441 2311.04163 2311.06597 2311.18817 2401.10463 2402.15175 2402.16726 2405.15071 2407.12332 2408.08944 2408.11804 2410.04489 2506.05718 2506.21551 2510.04930 2511.04760 2512.03437 2601.19791 2602.19533 2603.24746 2607.05104	2026-08-25
2306.17844	32	2307.09550 2308.15594 2310.19470 2311.07568 2312.06581 2402.09469 2402.10688 2402.16726 2405.16658 2407.20199 2501.12391 2502.01628 2502.21009 2505.18266 2510.04930 2511.01938 2602.06702 2602.16746 2602.18523 2602.18649 2602.22600 2603.01968 2603.05228 2604.06256 2604.17673 2605.18022 2606.08985 2606.12966 2606.17399 2606.32000 2607.05104 2608.07436	2026-08-25
2307.09550	0	-	2026-08-25
2308.09543	1	2506.05718	2026-08-25
2308.15594	11	2311.18817 2405.16658 2407.12332 2410.03569 2505.18266 2506.05718 2506.23286 2506.23679 2601.19791 2604.13082 2605.14659	2026-08-25
